LinkingId,CategoryID,ProductID,DisplayOrder
1934892,248,1080,
1934893,248,3759,
1934894,248,1957,
1934895,248,2973,
1934896,248,1083,
1934897,248,3614,
1934898,248,2788,
1934899,248,2836,
1934900,248,1101,
1934901,248,2972,
1934902,248,2715,
1934903,248,2241,
1934904,248,3232,
1934905,248,3716,
1934906,248,3725,
1934907,248,1043,
1934908,248,3768,
1934909,248,3490,
1934910,248,3576,
1934911,248,4006,
1934912,248,1078,
1934913,248,2884,
1934914,248,3986,
1934915,248,3205,
1934916,248,1058,
1934917,248,1057,
1934918,248,3591,
1934919,248,1090,
1934920,248,1089,
1934921,248,1088,
1934922,248,1095,
1934923,248,1077,
1934924,248,1100,
1934925,248,1099,
1934926,248,3656,
1934927,248,3809,
1934928,248,1092,
1934929,248,1094,
1934930,248,1096,
1934931,248,1093,
1934932,248,1091,
1934933,248,866,
1934934,248,3835,
1934935,248,1068,
1934936,248,1069,
1934937,248,1070,
1934938,248,1081,
1934939,248,4100,
1934940,248,2967,
1934941,248,3744,
1934942,248,2726,
1934943,248,1074,
1934944,248,1075,
1934945,248,3999,
1934946,248,3869,
1934947,248,1071,
1934948,248,1072,
1934949,248,1073,
1934950,248,1076,
1934951,248,1084,
1934952,248,1116,
1934953,248,2242,
1934954,248,2809,
1934955,248,1097,
1934956,248,858,
1934957,248,1048,
1934958,248,1046,
1934959,248,1049,
1934960,248,3849,
1934961,248,2552,
1934962,248,1808,
1934963,248,1050,
1934964,248,2356,
1934965,248,1248,
1934966,248,2604,
1934967,248,992,
1934968,248,2842,
1934969,248,993,
1934970,248,4021,
1934971,248,3185,
1934973,248,1056,
1934974,248,3897,
1934975,248,1052,
1934976,248,1053,
1934977,248,994,
1934978,248,1055,
1934979,248,4031,
1934980,248,4032,
1934981,248,4033,
1934982,248,3907,
1934983,248,3670,
1934984,248,3954,
1934985,248,1051,
1934986,248,2804,
1934987,248,1085,
1934988,248,3368,
1934989,248,3367,
1934990,248,3371,
1934991,248,3369,
1934992,265,4002,
1934993,265,1284,
1934994,265,1957,
1934995,265,3761,
1934996,265,4012,
1934997,265,3979,
1934998,265,3579,
1934999,265,1299,
1935000,265,1298,
1935001,265,2309,
1935002,265,1293,
1935003,265,1290,
1935004,265,3724,
1935005,265,3725,
1935006,265,1306,
1935007,265,1307,
1935008,265,3995,
1935009,265,1238,
1935010,265,3218,
1935011,265,1263,
1935012,265,2772,
1935013,265,2307,
1935014,265,1315,
1935015,265,1316,
1935016,265,3618,
1935017,265,1295,
1935018,265,1289,
1935019,265,3987,
1935020,265,1291,
1935021,265,3569,
1935022,265,1305,
1935023,265,1239,
1935024,265,1302,
1935025,265,1240,
1935026,265,1304,
1935027,265,1303,
1935028,265,2787,
1935029,265,1236,
1935030,265,1237,
1935031,265,1311,
1935032,265,3228,
1935033,265,3229,
1935034,265,1234,
1935035,265,1235,
1935036,265,1310,
1935037,265,1312,
1935038,265,1241,
1935039,265,2722,
1935040,265,3701,
1935041,265,3986,
1935043,265,1262,
1935044,265,1261,
1935045,265,3950,
1935046,265,3206,
1935047,265,3594,
1935048,265,2308,
1935049,265,1324,
1935050,265,1326,
1935051,265,1369,
1935052,265,1328,
1935053,265,1327,
1935054,265,1332,
1935055,265,1313,
1935056,265,1314,
1935057,265,1329,
1935058,265,1330,
1935059,265,1285,
1935060,265,1288,
1935061,265,1292,
1935062,265,1270,
1935063,265,1271,
1935064,265,1272,
1935065,265,3834,
1935066,265,3750,
1935067,265,1591,
1935068,265,1557,
1935069,265,3304,
1935070,265,2728,
1935071,265,4000,
1935072,265,3871,
1935073,265,1265,
1935074,265,1264,
1935075,265,1274,
1935076,265,1276,
1935077,265,1267,
1935078,265,1283,
1935079,265,1275,
1935080,265,1278,
1935081,265,1277,
1935082,265,1279,
1935083,265,1280,
1935084,265,1281,
1935085,265,989,
1935086,265,975,
1935087,265,1800,
1935088,265,3682,
1935089,265,3681,
1935090,265,2351,
1935091,265,1282,
1935092,265,2812,
1935093,265,3851,
1935094,265,1321,
1935095,265,1320,
1935096,265,858,
1935097,265,2335,
1935098,265,1322,
1935099,265,1323,
1935100,265,1334,
1935101,265,2605,
1935102,265,854,
1935103,265,1318,
1935104,265,1319,
1935105,265,3189,
1935106,265,1242,
1935107,265,3180,
1935108,265,2847,
1935109,265,1257,
1935110,265,3903,
1935111,265,1253,
1935112,265,1258,
1935113,265,4025,
1935114,265,1252,
1935116,265,3955,
1935117,265,1251,
1935118,265,1254,
1935119,265,1256,
1935120,265,3673,
1935121,265,1287,
1935122,265,1250,
1935123,265,1259,
1935124,265,3907,
1935125,265,4031,
1935126,265,4032,
1935127,265,4033,
1935128,265,3368,
1935129,265,3367,
1935130,265,3369,
1935131,265,3372,
1935132,265,3880,
1935133,265,3882,
1935134,265,3881,
1935135,304,3729,
1935136,304,3725,
1935137,304,4017,
1935138,304,2031,
1935139,304,3235,
1935140,304,3706,
1935141,304,2024,
1935142,304,2025,
1935143,304,3783,
1935144,304,2028,
1935145,304,2030,
1935146,304,2029,
1935147,304,2026,
1935148,304,2422,
1935149,304,2689,
1935150,304,2786,
1935151,304,3987,
1935152,304,3621,
1935153,304,2093,
1935154,304,2071,
1935155,304,2074,
1935156,304,2087,
1935157,304,2088,
1935158,304,3207,
1935159,304,2072,
1935160,304,2027,
1935161,304,2767,
1935162,304,2691,
1935163,304,2073,
1935164,304,2079,
1935165,304,2075,
1935166,304,3986,
1935167,304,2032,
1935168,304,2035,
1935169,304,2033,
1935170,304,2092,
1935171,304,2690,
1935172,304,2034,
1935173,304,2036,
1935174,304,3863,
1935175,304,2085,
1935176,304,858,
1935177,304,2089,
1935178,304,2090,
1935179,304,2361,
1935180,304,3285,
1935181,304,2094,
1935182,304,2366,
1935183,304,2835,
1935184,304,2076,
1935185,304,2077,
1935186,304,2078,
1935187,304,2086,
1935188,304,3094,
1935189,304,2974,
1935190,304,3754,
1935191,304,2056,
1935192,304,2057,
1935193,304,2058,
1935194,304,2059,
1935195,304,2060,
1935196,304,2061,
1935197,304,2062,
1935198,304,3545,
1935199,304,3093,
1935200,304,2063,
1935201,304,2065,
1935202,304,2064,
1935203,304,2070,
1935204,304,2095,
1935205,304,2083,
1935206,304,854,
1935207,304,2069,
1935208,304,2066,
1935209,304,2068,
1935210,304,2067,
1935211,304,2043,
1935212,304,2044,
1935213,304,3192,
1935214,304,2047,
1935215,304,2850,
1935216,304,3908,
1935217,304,2504,
1935218,304,2049,
1935219,304,2040,
1935220,304,2045,
1935221,304,4029,
1935222,304,2048,
1935223,304,2039,
1935224,304,2046,
1935225,304,2038,
1935227,304,2052,
1935228,304,2041,
1935229,304,2053,
1935230,304,2042,
1935231,304,2050,
1935232,304,2054,
1935233,304,3956,
1935234,304,3907,
1935235,304,4031,
1935236,304,4032,
1935237,304,4033,
1935238,304,2091,
1935239,304,2055,
1935240,304,2082,
1935241,304,2080,
1935242,304,2084,
1935243,304,2081,
1935244,304,2100,
1935245,304,3368,
1935246,304,3367,
1935247,304,3880,
1935248,304,3882,
1935249,304,3881,
1935296,387,4057,
1935297,387,3769,
1935298,387,526,
1935299,387,3775,
1935300,387,3151,
1935301,387,2938,
1935302,387,2745,
1935303,387,3500,
1935304,387,383,
1935305,387,527,
1935306,387,2898,
1935307,387,2900,
1935308,387,2899,
1935309,387,4068,
1935310,387,2752,
1935311,387,2748,
1935312,387,2749,
1935313,387,2750,
1935314,387,3902,
1935315,387,3907,
1935316,387,2751,
1935317,387,2753,
1935318,387,2755,
1935319,387,2754,
1935320,387,2909,
1935321,387,2908,
1935322,387,2913,
1935323,387,2911,
1935324,387,2910,
1935325,387,3847,
1935326,387,3854,
1935327,387,2742,
1935328,387,2741,
1935329,387,2192,
1935330,387,3348,
1935331,387,3368,
1935332,387,3367,
1935333,387,3365,
1935334,387,3369,
1935335,387,3353,
1935336,387,3880,
1935337,387,3882,
1935338,387,3881,
1935339,387,111,
1935343,277,3705,
1935344,277,3224,
1935345,277,1594,
1935346,277,1593,
1935347,277,3728,
1935348,277,3725,
1935349,277,1692,
1935350,277,1597,
1935351,277,1697,
1935352,277,1868,
1935353,277,1696,
1935354,277,2769,
1935355,277,1691,
1935356,277,1693,
1935357,277,1690,
1935358,277,1689,
1935359,277,1595,
1935360,277,1598,
1935361,277,1717,
1935362,277,1720,
1935363,277,850,
1935364,277,1695,
1935365,277,3987,
1935366,277,3986,
1935367,277,866,
1935368,277,3753,
1935369,277,1705,
1935370,277,1706,
1935371,277,1707,
1935372,277,1708,
1935373,277,1709,
1935374,277,1710,
1935375,277,1711,
1935376,277,1712,
1935377,277,2814,
1935378,277,1724,
1935379,277,1718,
1935380,277,3862,
1935381,277,2557,
1935382,277,1795,
1935383,277,2363,
1935384,277,2360,
1935385,277,1722,
1935386,277,1723,
1935387,277,858,
1935388,277,1725,
1935389,277,1721,
1935390,277,854,
1935391,277,1713,
1935392,277,1716,
1935393,277,1714,
1935394,277,1715,
1935395,277,3911,
1935396,277,3906,
1935397,277,3907,
1935398,277,4036,
1935399,277,4028,
1935400,277,4031,
1935401,277,4032,
1935402,277,4033,
1935403,277,3956,
1935404,277,1616,
1935405,277,1754,
1935406,277,3193,
1935407,277,2852,
1935408,277,1614,
1935409,277,1606,
1935410,277,1604,
1935411,277,1601,
1935412,277,3789,
1935413,277,1607,
1935414,277,3674,
1935415,277,1603,
1935416,277,1608,
1935417,277,1618,
1935419,277,1617,
1935420,277,1602,
1935421,277,1610,
1935422,277,1609,
1935423,277,1611,
1935424,277,1612,
1935425,277,1613,
1935426,277,1615,
1935427,277,3194,
1935428,277,1526,
1935430,277,1688,
1935431,277,1686,
1935432,277,1684,
1935433,277,3368,
1935434,277,3367,
1935435,277,3365,
1935436,277,3369,
1935437,277,3880,
1935438,277,3882,
1935439,277,3881,
1935445,399,1529,
1935446,399,3768,
1935447,399,3987,
1935448,399,3986,
1935449,399,2554,
1935450,399,2552,
1935451,399,2553,
1935452,399,2557,
1935453,399,1583,
1935454,399,3119,
1935474,400,4127,
1935475,400,4128,
1935476,400,4129,
1935477,400,4132,
1935478,400,4130,
